state_name,year_month,rainfall_actual_mm,rainfall_normal_mm,rainfall_dev_pct
andaman and nicobar islands,2009-01,0.0,87.82,
andaman and nicobar islands,2009-02,0.0,40.78,
andaman and nicobar islands,2009-03,0.0,31.48,
andaman and nicobar islands,2009-04,0.0,91.81,
andaman and nicobar islands,2009-05,0.0,370.47,
andaman and nicobar islands,2009-06,0.0,387.96,
andaman and nicobar islands,2009-07,0.0,329.2,
andaman and nicobar islands,2009-08,0.0,312.53,
andaman and nicobar islands,2009-09,0.0,358.06,
andaman and nicobar islands,2009-10,0.0,316.79,
andaman and nicobar islands,2009-11,0.0,200.95,
andaman and nicobar islands,2009-12,0.0,177.51,
andaman and nicobar islands,2010-01,0.0,87.82,
andaman and nicobar islands,2010-02,0.0,47.07,
andaman and nicobar islands,2010-03,0.0,37.69,
andaman and nicobar islands,2010-04,0.0,92.91,
andaman and nicobar islands,2010-05,0.0,370.47,
andaman and nicobar islands,2010-06,0.0,387.96,
andaman and nicobar islands,2010-07,0.0,340.65,
andaman and nicobar islands,2010-08,0.0,335.57,
andaman and nicobar islands,2010-09,0.0,383.53,
andaman and nicobar islands,2010-10,0.0,316.79,
andaman and nicobar islands,2010-11,0.0,285.13,
andaman and nicobar islands,2010-12,0.0,223.89000000000001,
andaman and nicobar islands,2011-01,0.0,87.82,
andaman and nicobar islands,2011-02,0.0,47.07,
andaman and nicobar islands,2011-03,0.0,37.69,
andaman and nicobar islands,2011-04,0.0,92.91,
andaman and nicobar islands,2011-05,0.0,370.47,
andaman and nicobar islands,2011-06,0.0,387.96,
andaman and nicobar islands,2011-07,0.0,340.65,
andaman and nicobar islands,2011-08,0.0,335.57,
andaman and nicobar islands,2011-09,0.0,383.53,
andaman and nicobar islands,2011-10,0.0,316.79,
andaman and nicobar islands,2011-11,0.0,285.13,
andaman and nicobar islands,2011-12,0.0,223.89000000000001,
andaman and nicobar islands,2012-01,0.0,87.82,
andaman and nicobar islands,2012-02,0.0,47.07,
andaman and nicobar islands,2012-03,0.0,37.69,
andaman and nicobar islands,2012-04,0.0,92.91,
andaman and nicobar islands,2012-05,0.0,370.47,
andaman and nicobar islands,2012-06,0.0,387.96,
andaman and nicobar islands,2012-07,0.0,340.65,
andaman and nicobar islands,2012-08,0.0,335.57,
andaman and nicobar islands,2012-09,0.0,383.53,
andaman and nicobar islands,2012-10,0.0,316.79,
andaman and nicobar islands,2012-11,0.0,285.13,
andaman and nicobar islands,2012-12,0.0,223.89000000000001,
andaman and nicobar islands,2013-01,0.0,87.82,
andaman and nicobar islands,2013-02,0.0,47.07,
andaman and nicobar islands,2013-03,0.0,37.69,
andaman and nicobar islands,2013-04,0.0,92.91,
andaman and nicobar islands,2013-05,0.0,370.47,
andaman and nicobar islands,2013-06,0.0,387.96,
andaman and nicobar islands,2013-07,0.0,340.65,
andaman and nicobar islands,2013-08,0.0,335.57,
andaman and nicobar islands,2013-09,0.0,383.53,
andaman and nicobar islands,2013-10,0.0,316.79,
andaman and nicobar islands,2013-11,0.0,285.13,
andaman and nicobar islands,2013-12,0.0,223.89000000000001,
andaman and nicobar islands,2014-01,0.0,87.82,
andaman and nicobar islands,2014-02,0.0,47.07,
andaman and nicobar islands,2014-03,0.0,37.69,
andaman and nicobar islands,2014-04,0.0,92.91,
andaman and nicobar islands,2014-05,0.0,370.47,
andaman and nicobar islands,2014-06,0.0,387.96,
andaman and nicobar islands,2014-07,0.0,340.65,
andaman and nicobar islands,2014-08,0.0,335.57,
andaman and nicobar islands,2014-09,0.0,383.53,
andaman and nicobar islands,2014-10,0.0,316.79,
andaman and nicobar islands,2014-11,0.0,285.13,
andaman and nicobar islands,2014-12,0.0,223.89000000000001,
andaman and nicobar islands,2015-01,0.0,87.82,
andaman and nicobar islands,2015-02,0.0,47.07,
andaman and nicobar islands,2015-03,0.0,37.69,
andaman and nicobar islands,2015-04,0.0,92.91,
andaman and nicobar islands,2015-05,0.0,370.47,
andaman and nicobar islands,2015-06,0.0,387.96,
andaman and nicobar islands,2015-07,0.0,340.65,
andaman and nicobar islands,2015-08,0.0,335.57,
andaman and nicobar islands,2015-09,0.0,383.53,
andaman and nicobar islands,2015-10,0.0,316.79,
andaman and nicobar islands,2015-11,0.0,285.13,
andaman and nicobar islands,2015-12,0.0,223.89000000000001,
andaman and nicobar islands,2016-01,0.0,87.82,
andaman and nicobar islands,2016-02,0.0,47.07,
andaman and nicobar islands,2016-03,0.0,37.69,
andaman and nicobar islands,2016-04,0.0,92.91,
andaman and nicobar islands,2016-05,0.0,370.47,
andaman and nicobar islands,2016-06,0.0,387.96,
andaman and nicobar islands,2016-07,0.0,340.65,
andaman and nicobar islands,2016-08,0.0,335.57,
andaman and nicobar islands,2016-09,0.0,383.53,
andaman and nicobar islands,2016-10,0.0,316.79,
andaman and nicobar islands,2016-11,0.0,285.13,
andaman and nicobar islands,2016-12,0.0,223.89000000000001,
andaman and nicobar islands,2017-01,0.0,87.82,
andaman and nicobar islands,2017-02,0.0,47.07,
andaman and nicobar islands,2017-03,0.0,37.69,
andaman and nicobar islands,2017-04,0.0,92.91,
andaman and nicobar islands,2017-05,0.0,370.47,
andaman and nicobar islands,2017-06,0.0,387.96,
andaman and nicobar islands,2017-07,0.0,340.65,
andaman and nicobar islands,2017-08,0.0,335.57,
andaman and nicobar islands,2017-09,0.0,383.53,
andaman and nicobar islands,2017-10,0.0,316.79,
andaman and nicobar islands,2017-11,0.0,285.13,
andaman and nicobar islands,2017-12,0.0,223.89000000000001,
andaman and nicobar islands,2018-01,0.0,87.82,
andaman and nicobar islands,2018-02,0.0,47.07,
andaman and nicobar islands,2018-03,0.0,37.69,
andaman and nicobar islands,2018-04,0.0,92.91,
andaman and nicobar islands,2018-05,0.0,370.47,
andaman and nicobar islands,2018-06,0.0,387.96,
andaman and nicobar islands,2018-07,0.0,340.65,
andaman and nicobar islands,2018-08,0.0,335.57,
andaman and nicobar islands,2018-09,0.0,383.53,
andaman and nicobar islands,2018-10,0.0,316.79,
andaman and nicobar islands,2018-11,0.0,285.13,
andaman and nicobar islands,2018-12,0.0,223.89000000000001,
andaman and nicobar islands,2019-01,0.0,87.82,
andaman and nicobar islands,2019-02,0.0,47.07,
andaman and nicobar islands,2019-03,0.0,37.69,
andaman and nicobar islands,2019-04,0.0,92.91,
andaman and nicobar islands,2019-05,0.0,370.47,
andaman and nicobar islands,2019-06,0.0,387.96,
andaman and nicobar islands,2019-07,0.0,340.65,
andaman and nicobar islands,2019-08,0.0,335.57,
andaman and nicobar islands,2019-09,0.0,383.53,
andaman and nicobar islands,2019-10,0.0,316.79,
andaman and nicobar islands,2019-11,0.0,285.13,
andaman and nicobar islands,2019-12,0.0,223.89000000000001,
andaman and nicobar islands,2020-01,0.0,87.82,
andaman and nicobar islands,2020-02,0.0,47.07,
andaman and nicobar islands,2020-03,0.0,37.69,
andaman and nicobar islands,2020-04,0.0,92.91,
andaman and nicobar islands,2020-05,0.0,370.47,
andaman and nicobar islands,2020-06,0.0,387.96,
andaman and nicobar islands,2020-07,0.0,340.65,
andaman and nicobar islands,2020-08,0.0,335.57,
andaman and nicobar islands,2020-09,0.0,383.53,
andaman and nicobar islands,2020-10,0.0,316.79,
andaman and nicobar islands,2020-11,0.0,285.13,
andaman and nicobar islands,2020-12,0.0,223.89000000000001,
andaman and nicobar islands,2021-01,0.0,87.82,
andaman and nicobar islands,2021-02,0.0,47.07,
andaman and nicobar islands,2021-03,0.0,37.69,
andaman and nicobar islands,2021-04,0.0,92.91,
andaman and nicobar islands,2021-05,0.0,370.47,
andaman and nicobar islands,2021-06,0.0,387.96,
andaman and nicobar islands,2021-07,0.0,340.65,
andaman and nicobar islands,2021-08,0.0,335.57,
andaman and nicobar islands,2021-09,0.0,383.53,
andaman and nicobar islands,2021-10,0.0,316.79,
andaman and nicobar islands,2021-11,0.0,285.13,
andaman and nicobar islands,2021-12,0.0,223.89000000000001,
andaman and nicobar islands,2022-01,0.0,87.82,
andaman and nicobar islands,2022-02,0.0,45.95,
andaman and nicobar islands,2022-03,0.0,37.69,
andaman and nicobar islands,2022-04,0.0,92.91,
andaman and nicobar islands,2022-05,0.0,370.47,
andaman and nicobar islands,2022-06,0.0,387.96,
andaman and nicobar islands,2022-07,0.0,340.65,
andaman and nicobar islands,2022-08,0.0,335.57,
andaman and nicobar islands,2022-09,0.0,383.53,
andaman and nicobar islands,2022-10,0.0,316.79,
andaman and nicobar islands,2022-11,0.0,285.13,
andaman and nicobar islands,2022-12,0.0,223.89000000000001,
andaman and nicobar islands,2023-01,0.0,87.82,
andaman and nicobar islands,2023-02,0.0,47.07,
andaman and nicobar islands,2023-03,0.0,37.69,
andaman and nicobar islands,2023-04,0.0,92.91,
andaman and nicobar islands,2023-05,0.0,370.47,
andaman and nicobar islands,2023-06,0.0,387.96,
andaman and nicobar islands,2023-07,0.0,340.65,
andaman and nicobar islands,2023-08,0.0,335.57,
andaman and nicobar islands,2023-09,0.0,383.53,
andaman and nicobar islands,2023-10,0.0,316.79,
andaman and nicobar islands,2023-11,0.0,285.13,
andaman and nicobar islands,2023-12,0.0,223.89000000000001,
andaman and nicobar islands,2024-01,0.0,56.83,
andhra pradesh,2009-01,0.35000000000000003,5.32,-82.97354838709677
andhra pradesh,2009-02,0.02,5.79,-98.80958333333332
andhra pradesh,2009-03,4.0,9.34,-36.915925925925926
andhra pradesh,2009-04,4.28,19.6,-84.4403448275862
andhra pradesh,2009-05,68.06,57.11,35.26612903225807
andhra pradesh,2009-06,100.06,82.64,30.40366666666667
andhra pradesh,2009-07,62.45,126.6,-45.89566666666666
andhra pradesh,2009-08,130.4,122.03,7.587931034482757
andhra pradesh,2009-09,148.74,139.4,12.044285714285715
andhra pradesh,2009-10,72.08,164.87,-53.579354838709676
andhra pradesh,2009-11,96.97,52.4,63.11772727272727
andhra pradesh,2009-12,30.790000000000003,21.91,93.47782608695651
andhra pradesh,2010-01,15.05,5.32,109.1109677419355
andhra pradesh,2010-02,0.54,6.43,-90.77285714285713
andhra pradesh,2010-03,1.9900000000000002,9.96,-66.72096774193548
andhra pradesh,2010-04,19.03,20.31,-4.661666666666665
andhra pradesh,2010-05,126.28,57.11,74.78129032258066
andhra pradesh,2010-06,119.9,82.64,58.265
andhra pradesh,2010-07,224.0,130.45,69.48548387096774
andhra pradesh,2010-08,205.94,129.66,59.18032258064516
andhra pradesh,2010-09,153.37,149.36,16.084666666666664
andhra pradesh,2010-10,162.84,164.87,23.666129032258063
andhra pradesh,2010-11,212.06,88.09,113.214
andhra pradesh,2010-12,92.81,25.34,120.7958064516129
andhra pradesh,2011-01,1.81,5.32,-48.71774193548387
andhra pradesh,2011-02,13.39,6.43,51.97714285714285
andhra pradesh,2011-03,0.62,9.96,-93.31806451612904
andhra pradesh,2011-04,41.99,20.31,71.01866666666666
andhra pradesh,2011-05,45.44,57.11,-18.170967741935485
andhra pradesh,2011-06,65.0,82.64,-16.531666666666666
andhra pradesh,2011-07,147.15,130.45,14.134193548387096
andhra pradesh,2011-08,174.15,129.66,41.36387096774193
andhra pradesh,2011-09,84.61,149.36,-34.469
andhra pradesh,2011-10,112.15,164.87,-16.93903225806452
andhra pradesh,2011-11,79.39,88.09,28.293666666666663
andhra pradesh,2011-12,22.92,25.34,186.54516129032257
andhra pradesh,2012-01,25.51,5.32,152.93032258064517
andhra pradesh,2012-02,0.01,6.43,-99.72535714285713
andhra pradesh,2012-03,3.04,9.96,-66.34903225806453
andhra pradesh,2012-04,31.87,20.31,48.894666666666666
andhra pradesh,2012-05,36.06,57.11,-26.783870967741933
andhra pradesh,2012-06,64.09,82.64,-18.485000000000003
andhra pradesh,2012-07,171.13,130.45,41.01548387096774
andhra pradesh,2012-08,164.06,129.66,30.688709677419357
andhra pradesh,2012-09,149.71,149.36,3.829333333333333
andhra pradesh,2012-10,138.02,164.87,-13.609032258064516
andhra pradesh,2012-11,178.29999999999998,88.09,35.772999999999996
andhra pradesh,2012-12,41.21,25.34,100.24387096774191
andhra pradesh,2013-01,0.71,5.32,-66.22032258064516
andhra pradesh,2013-02,32.81,6.43,246.05464285714285
andhra pradesh,2013-03,6.6899999999999995,9.96,-47.40870967741935
andhra pradesh,2013-04,32.15,20.31,25.957999999999995
andhra pradesh,2013-05,27.21,57.11,-52.722580645161294
andhra pradesh,2013-06,90.33,82.64,15.510333333333332
andhra pradesh,2013-07,133.45,130.45,5.918387096774193
andhra pradesh,2013-08,117.27,129.66,-7.880322580645161
andhra pradesh,2013-09,156.12,149.36,13.025666666666666
andhra pradesh,2013-10,289.08,164.87,82.53322580645163
andhra pradesh,2013-11,54.44,88.09,-20.692
andhra pradesh,2013-12,3.8699999999999997,25.34,-90.35774193548387
andhra pradesh,2014-01,0.42000000000000004,5.32,-93.8167741935484
andhra pradesh,2014-02,0.89,6.43,-90.35464285714285
andhra pradesh,2014-03,8.65,9.96,31.53548387096774
andhra pradesh,2014-04,9.49,20.31,-41.737
andhra pradesh,2014-05,71.04,57.11,23.969032258064516
andhra pradesh,2014-06,50.85,82.64,-38.391333333333336
andhra pradesh,2014-07,121.2,130.45,-2.489999999999999
andhra pradesh,2014-08,140.47,129.66,5.350322580645162
andhra pradesh,2014-09,111.94,149.36,-21.252666666666666
andhra pradesh,2014-10,146.55,164.87,11.040645161290323
andhra pradesh,2014-11,43.39,88.09,-52.783
andhra pradesh,2014-12,17.43,25.34,21.361290322580647
